,v0,v1,v2,v3
,-982570,-1.19501e+06,-1.06059e+06,-1.0434e+06
,-918293,-1.23498e+06,-1.05528e+06,-1.0332e+06
,-919595,-1.24132e+06,-1.05389e+06,-992551
,-920775,-1.24411e+06,-1.0501e+06,-983791
,-922313,-1.18071e+06,-1.04857e+06,-977209
,-920605,-1.18087e+06,-1.04758e+06,-971313
,-979474,-1.1797e+06,-1.04958e+06,-968930
,-932405,-1.2432e+06,-1.05317e+06,-968908
,-917208,-1.23832e+06,-1.05498e+06,-968197
,-903117,-1.23063e+06,-1.05696e+06,-968696
,-859630,-1.1891e+06,-1.06032e+06,-971020
,-853189,-1.17919e+06,-1.06449e+06,-975113
,-916252,-1.16998e+06,-1.10544e+06,-983830
,-913209,-1.13028e+06,-1.05265e+06,-997827
,-910312,-1.12199e+06,-1.09895e+06,-1.04672e+06
,-906527,-1.11482e+06,-1.11662e+06,-1.03402e+06
,-902685,-1.17356e+06,-1.16844e+06,-1.05676e+06
,-866026,-1.16733e+06,-1.12416e+06,-1.04958e+06
,-861670,-1.12796e+06,-1.17997e+06,-1.10978e+06
,-858585,-1.12052e+06,-1.23519e+06,-1.17023e+06
,-857855,-1.11388e+06,-1.19404e+06,-1.16658e+06
,-857606,-1.10826e+06,-1.2526e+06,-1.23029e+06
,-860713,-1.09998e+06,-1.3081e+06,-1.19273e+06
,-866616,-1.06089e+06,-1.30049e+06,-1.25568e+06
,-907324,-1.05161e+06,-1.32123e+06,-1.24906e+06
,-852185,-1.10954e+06,-1.31168e+06,-1.30964e+06
,-858083,-1.09978e+06,-1.36629e+06,-1.36787e+06
,-862749,-1.0565e+06,-1.38525e+06,-1.32457e+06
,-862935,-1.04674e+06,-1.43742e+06,-1.37964e+06
,-861668,-997902,-1.38259e+06,-1.4259e+06
,-861196,-1.04806e+06,-1.42665e+06,-1.43901e+06
,-859397,-996634,-1.43305e+06,-1.38132e+06
,-857397,-978467,-1.43878e+06,-1.38728e+06
,-916425,-925157,-1.44255e+06,-1.38979e+06
,-914644,-932408,-1.43892e+06,-1.38499e+06
,-913121,-909309,-1.43774e+06,-1.38185e+06
,-910907,-916509,-1.43278e+06,-1.44001e+06
,-909625,-857111,-1.42818e+06,-1.43176e+06
,-906253,-799437,-1.38986e+06,-1.38978e+06
,-903382,-837361,-1.38211e+06,-1.37777e+06
,-902172,-776657,-1.44026e+06,-1.36573e+06
,-866000,-783079,-1.43417e+06,-1.32178e+06
,-862726,-721436,-1.39242e+06,-1.37321e+06
,-862666,-662469,-1.38519e+06,-1.36092e+06
,-862406,-668866,-1.37671e+06,-1.31611e+06
,-867363,-641839,-1.36732e+06,-1.30301e+06
,-907811,-649441,-1.32584e+06,-1.25802e+06
,-915682,-594960,-1.31968e+06,-1.24882e+06
,-860101,-537081,-1.37343e+06,-1.29992e+06
,-921087,-576251,-1.32679e+06,-1.25056e+06
,-978446,-525310,-1.31872e+06,-1.24216e+06
,-930553,-473341,-1.30584e+06,-1.23036e+06
