,v0,v1,v2,v3
,-996863,-855566,-798705,-859885
,-998706,-868059,-840162,-868137
,-1.033e+06,-911900,-847318,-908251
,-1.03448e+06,-921052,-852943,-913432
,-1.03572e+06,-928469,-856591,-852191
,-1.03649e+06,-966891,-859618,-855051
,-1.03707e+06,-970274,-860221,-855590
,-1.03779e+06,-972786,-859959,-855517
,-1.03833e+06,-973303,-858587,-853725
,-1.03838e+06,-972287,-855788,-916472
,-1.03884e+06,-970227,-851756,-912192
,-1.03934e+06,-966912,-847361,-907555
,-1.0396e+06,-929298,-841781,-901647
,-1.03983e+06,-924641,-836412,-862509
,-1.04039e+06,-918756,-797176,-855331
,-1.03965e+06,-913368,-793877,-850127
,-1.03244e+06,-908322,-791074,-846043
,-986578,-904174,-790830,-842524
,-968953,-866768,-789548,-838595
,-919053,-861917,-788781,-802776
,-967370,-858349,-790986,-801274
,-919548,-854816,-794149,-800218
,-909277,-853239,-800009,-801992
,-902427,-854290,-843505,-840412
,-865058,-858308,-858592,-849880
,-859119,-865522,-911662,-864545
,-853714,-906998,-902645,-915491
,-914119,-918334,-930501,-904390
,-909573,-930622,-928038,-928506
,-906180,-977469,-993547,-922336
,-903232,-927198,-995621,-984534
,-868333,-975610,-1.06475e+06,-1.04802e+06
,-867857,-991017,-1.10128e+06,-1.04629e+06
,-902665,-1.03884e+06,-1.16967e+06,-1.11051e+06
,-910814,-986666,-1.17066e+06,-1.10775e+06
,-855541,-1.0332e+06,-1.23773e+06,-1.17149e+06
,-867608,-1.04578e+06,-1.23745e+06,-1.16862e+06
,-905489,-1.05907e+06,-1.30412e+06,-1.23388e+06
,-907982,-1.10155e+06,-1.29921e+06,-1.19502e+06
,-863284,-1.05369e+06,-1.37066e+06,-1.2961e+06
,-901673,-1.05963e+06,-1.36119e+06,-1.25389e+06
,-854041,-1.06266e+06,-1.37828e+06,-1.30555e+06
,-840899,-1.09796e+06,-1.42774e+06,-1.3235e+06
,-799285,-1.09798e+06,-1.44148e+06,-1.3714e+06
,-792096,-1.09881e+06,-1.39133e+06,-1.3217e+06
,-851492,-1.10108e+06,-1.43873e+06,-1.36979e+06
,-847079,-1.10289e+06,-1.45464e+06,-1.38543e+06
