,v0,v1,v2,v3
,-986887,-1.23215e+06,-784158,-729326
,-988209,-1.2373e+06,-792639,-726311
,-990410,-1.17402e+06,-798261,-722709
,-992204,-1.17551e+06,-839215,-786397
,-994548,-1.10827e+06,-845880,-783553
,-996657,-1.10721e+06,-788674,-782560
,-997947,-1.03787e+06,-795124,-780531
,-1.03324e+06,-1.03472e+06,-801543,-779479
,-1.03428e+06,-933097,-840903,-779472
,-1.03506e+06,-930541,-847091,-780482
,-1.03572e+06,-862212,-852209,-780816
,-1.03676e+06,-861209,-857840,-783052
,-1.037e+06,-797178,-863291,-721164
,-1.03727e+06,-799228,-867809,-724280
,-1.03812e+06,-771533,-905521,-729844
,-1.03839e+06,-779718,-909858,-736557
,-1.0376e+06,-724725,-913903,-777008
,-1.03786e+06,-670952,-916462,-783849
,-1.03933e+06,-719886,-853998,-792836
,-1.04043e+06,-706830,-856257,-802806
,-1.03916e+06,-666115,-860223,-848094
,-997925,-661745,-866045,-796446
,-987599,-660772,-901176,-843053
,-973370,-664580,-907217,-859608
,-928983,-668988,-907300,-904999
,-920021,-711672,-912689,-856336
,-976322,-659727,-918277,-906261
,-970453,-710688,-924614,-924389
,-932604,-732160,-930817,-976353
,-930564,-723214,-972041,-930096
,-928994,-784870,-918008,-985126
,-925196,-849712,-930618,-1.0412e+06
,-920056,-852686,-977136,-999115
,-916274,-854512,-989478,-1.05271e+06
,-915441,-925162,-1.03632e+06,-1.10801e+06
,-912612,-932160,-985109,-1.06415e+06
,-911405,-1.03782e+06,-1.03273e+06,-1.11694e+06
,-911127,-1.04679e+06,-1.04784e+06,-1.16944e+06
,-913680,-1.05367e+06,-1.0606e+06,-1.11978e+06
,-918580,-1.12771e+06,-1.10852e+06,-1.16945e+06
,-923195,-1.1676e+06,-1.05262e+06,-1.18147e+06
,-930785,-1.24006e+06,-1.06416e+06,-1.19323e+06
,-966962,-1.24472e+06,-1.10824e+06,-1.23548e+06
,-969955,-1.25008e+06,-1.11919e+06,-1.24419e+06
,-932551,-1.31912e+06,-1.12996e+06,-1.18576e+06
,-932038,-1.31609e+06,-1.164e+06,-1.18368e+06
,-930078,-1.38089e+06,-1.17199e+06,-1.18607e+06
