,v0,v1,v2,v3
,-1.03551e+06,-799685,-903376,-857604
,-998108,-845071,-868118,-851960
,-984842,-859663,-901898,-850139
,-933138,-905173,-866761,-846129
,-982217,-852938,-864823,-844056
,-932035,-866016,-864767,-844324
,-917798,-910831,-866033,-846587
,-907512,-922926,-901931,-851436
,-867269,-969446,-909869,-860961
,-861422,-982543,-855289,-906542
,-857375,-931571,-904441,-859337
,-915751,-979256,-925901,-914939
,-908576,-992297,-981274,-972068
,-903982,-1.03734e+06,-974372,-933372
,-901361,-1.04812e+06,-1.03578e+06,-994623
,-866324,-992766,-1.03419e+06,-993479
,-864061,-1.03318e+06,-1.09881e+06,-1.05774e+06
,-862717,-1.03834e+06,-1.09906e+06,-1.05673e+06
,-863699,-1.04139e+06,-1.16457e+06,-1.11978e+06
,-901617,-1.0406e+06,-1.16353e+06,-1.11568e+06
,-910112,-1.03784e+06,-1.19548e+06,-1.17608e+06
,-852983,-1.0342e+06,-1.19477e+06,-1.23646e+06
,-856007,-996036,-1.26024e+06,-1.22987e+06
,-855050,-986403,-1.25546e+06,-1.25163e+06
,-855510,-1.03988e+06,-1.31298e+06,-1.30223e+06
,-855007,-993574,-1.36882e+06,-1.25132e+06
,-854570,-977891,-1.32228e+06,-1.29489e+06
,-853745,-928510,-1.37217e+06,-1.303e+06
,-917253,-976884,-1.38648e+06,-1.30765e+06
,-914179,-926523,-1.43049e+06,-1.30914e+06
,-912895,-909584,-1.43793e+06,-1.30733e+06
,-911612,-861759,-1.37957e+06,-1.30482e+06
,-910347,-913349,-1.38419e+06,-1.29993e+06
,-909019,-903197,-1.38858e+06,-1.29516e+06
,-906504,-861760,-1.39033e+06,-1.25614e+06
,-903459,-857589,-1.39244e+06,-1.25058e+06
,-901872,-855566,-1.39163e+06,-1.30913e+06
,-867055,-859365,-1.42615e+06,-1.30485e+06
,-866817,-863787,-1.3901e+06,-1.29792e+06
,-859118,-916257,-1.43537e+06,-1.30426e+06
,-797180,-902416,-1.44055e+06,-1.30737e+06
,-849696,-918760,-1.4364e+06,-1.30304e+06
,-843580,-977468,-1.44071e+06,-1.30759e+06
,-838897,-974041,-1.4454e+06,-1.24826e+06
,-841483,-1.0371e+06,-1.44711e+06,-1.25263e+06
,-799998,-1.03853e+06,-1.45003e+06,-1.25907e+06
,-858351,-1.11287e+06,-1.4948e+06,-1.30739e+06
,-910329,-1.12286e+06,-1.50657e+06,-1.32372e+06
,-856809,-1.16994e+06,-1.45642e+06,-1.31102e+06
,-864244,-1.18164e+06,-1.50016e+06,-1.36069e+06
,-905170,-1.25828e+06,-1.50966e+06,-1.37705e+06
,-911879,-1.29975e+06,-1.51599e+06,-1.39088e+06
,-917768,-1.37343e+06,-1.52091e+06,-1.43691e+06
,-922098,-1.37697e+06,-1.52118e+06,-1.37957e+06
,-926453,-1.37681e+06,-1.51866e+06,-1.38523e+06
,-927959,-1.43972e+06,-1.51273e+06,-1.38879e+06
,-931379,-1.49739e+06,-1.50227e+06,-1.3875e+06
,-966931,-1.45404e+06,-1.49114e+06,-1.38471e+06
,-966930,-1.50327e+06,-1.44354e+06,-1.37828e+06
,-968939,-1.51573e+06,-1.45691e+06,-1.43354e+06
,-970262,-1.55727e+06,-1.43841e+06,-1.38951e+06
,-971745,-1.56154e+06,-1.3834e+06,-1.37474e+06
,-974066,-1.56268e+06,-1.42724e+06,-1.32631e+06
,-974315,-1.56107e+06,-1.37116e+06,-1.37398e+06
,-975353,-1.52247e+06,-1.31528e+06,-1.32255e+06
,-976093,-1.51546e+06,-1.32459e+06,-1.30353e+06
,-975811,-1.50474e+06,-1.30205e+06,-1.25057e+06
,-976650,-1.45715e+06,-1.31046e+06,-1.26059e+06
,-976618,-1.4441e+06,-1.25904e+06,-1.24238e+06
,-975395,-1.45716e+06,-1.23494e+06,-1.18558e+06
,-982285,-1.44096e+06,-1.18446e+06,-1.2324e+06
,-974872,-1.39164e+06,-1.23628e+06,-1.18319e+06
,-975906,-1.4321e+06,-1.18241e+06,-1.1264e+06
,-975149,-1.38113e+06,-1.17277e+06,-1.17761e+06
,-971993,-1.32405e+06,-1.12458e+06,-1.12511e+06
,-970212,-1.368e+06,-1.11621e+06,-1.10975e+06
,-968692,-1.31171e+06,-1.17121e+06,-1.06085e+06
,-967144,-1.25574e+06,-1.16483e+06,-1.11232e+06
,-969263,-1.29666e+06,-1.12457e+06,-1.0647e+06
,-971032,-1.24165e+06,-1.12262e+06,-1.0545e+06
,-970504,-1.18627e+06,-1.12051e+06,-1.04395e+06
,-970509,-1.19558e+06,-1.1203e+06,-1.03499e+06
,-970696,-1.17346e+06,-1.12125e+06,-994779
,-970454,-1.11868e+06,-1.12283e+06,-987897
,-968642,-1.12973e+06,-1.12711e+06,-983609
,-932545,-1.10724e+06,-1.16401e+06,-1.04496e+06
,-931869,-1.05143e+06,-1.16786e+06,-1.04085e+06
,-929583,-1.06417e+06,-1.17407e+06,-1.03987e+06
,-931816,-1.04038e+06,-1.17634e+06,-1.03558e+06
,-970814,-985093,-1.11622e+06,-1.03444e+06
,-972804,-997850,-1.12286e+06,-1.0365e+06
,-973374,-975583,-1.12818e+06,-1.03779e+06
,-975331,-921133,-1.16553e+06,-1.03935e+06
,-976398,-933134,-1.17022e+06,-1.04222e+06
,-976634,-911350,-1.17403e+06,-1.04519e+06
,-976143,-856267,-1.17705e+06,-1.04782e+06
,-976160,-866521,-1.17814e+06,-984517
,-976096,-844296,-1.17988e+06,-987966
