59 , loss, 0.500136, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
60 , loss, 0.4998769, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
61 , loss, 0.50013566, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
62 , loss, 0.49979252, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
63 , loss, 0.4998776, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
64 , loss, 0.49979317, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
65 , loss, 0.49996394, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
66 , loss, 0.49979234, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
67 , loss, 0.49987853, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
68 , loss, 0.49996543, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
69 , loss, 0.49987936, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
70 , loss, 0.5000493, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
71 , loss, 0.49987888, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
72 , loss, 0.4997941, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
73 , loss, 0.5000493, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
74 , loss, 0.5000483, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
75 , loss, 0.50004977, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
76 , loss, 0.4997936, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
77 , loss, 0.49987796, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
78 , loss, 0.4999646, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
79 , loss, 0.49987847, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
80 , loss, 0.49996272, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
81 , loss, 0.49996522, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
82 , loss, 0.49979126, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
83 , loss, 0.49996492, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
84 , loss, 0.5000497, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
85 , loss, 0.49979284, val_accuracy, 0.49748089066134926, 2023-04-20 06:38:18.030441
